n1,n2,exact,approx
10,12,0.013601,0.004569
14,17,0.065856,0.017615
18,22,0.205449,0.048062
22,27,0.547327,0.120421
26,32,1.280913,0.266409
30,37,2.668594,0.966967
34,42,5.950600,2.141774
38,47,8.751683,3.985103
42,52,29.652100,7.324714
46,57,41.647475,12.346879
50,62,70.600483,19.926496
